回数,賞,ID,song_by,歌詞
20,金賞,4050,プレイバック Part2_by_山口百恵,"緑の中を走り抜けてく真紅(まっか)なポルシェ ひとり旅なの 私気ままにハンドル切るの 交差点では隣りの車がミラーこすったと 怒鳴っているから私もついつい大声になる 馬鹿にしないでよ そっちのせいよ ちょっと待って Play Back, Play Back 今の言葉 Play Back, Play Back 馬鹿にしないでよ そっちのせいよ これは昨夜の私のセリフ 気分次第で抱くだけ抱いて 女はいつも待ってるなんて 坊や、いったい何を教わって来たの 私だって、私だって、疲れるわ はるかな波がキラキラ光る海岸通り みじかい旅よ力一杯アクセル踏むの 潮風の中ラジオのボリュームフルに上げれば 心かすめてステキな唄が流れてくるわ 勝手にしゃがれ 出ていくんだろ ちょっと待って Play Back, Play Back 今の歌を Play Back, Play Back 勝手にしゃがれ 出ていくんだろ これは昨夜のあなたのセリフ 強がりばかり言ってたけれど 本当はとても淋しがり屋よ 坊や、いったい何を教わって来たの 私やっぱり、私やっぱり、帰るわね あなたのもとへ Play Back, Play Back あなたのもとへ Play Back"
21,大賞,4336,魅せられて_by_ジュディ・オング,南に向いてる窓を明け 一人で見ている 海の色 美しすぎると 怖くなる 若さによく似た 真昼の蜃気楼 Wind is blowing from the Aegean 女は海 好きな男の腕の中でも 違う男の夢を見る Uh― Ah― Uh― Ah― 私の中でお眠りなさい Wind is blowing from the Aegean 女は恋 昨夜(ゆうべ)の余韻が隅々に 気怠(けだる)い甘さを 残してる レースのカーテン ひきちぎり 体に巻きつけ 踊ってみたくなる Wind is blowing from the Aegean 女は海 やさしい人に抱(だ)かれながらも 強い男にひかれてく Uh― Ah― Uh― Ah― 私の中でお眠りなさい Wind is blowing from the Aegean 女は海 好きな男の腕の中でも 違う男の夢を見る Uh― Ah― Uh― Ah― 私の中でお眠りなさい Wind is blowing from the Aegean 女は恋
21,金賞,4336,魅せられて_by_ジュディ・オング,南に向いてる窓を明け 一人で見ている 海の色 美しすぎると 怖くなる 若さによく似た 真昼の蜃気楼 Wind is blowing from the Aegean 女は海 好きな男の腕の中でも 違う男の夢を見る Uh― Ah― Uh― Ah― 私の中でお眠りなさい Wind is blowing from the Aegean 女は恋 昨夜(ゆうべ)の余韻が隅々に 気怠(けだる)い甘さを 残してる レースのカーテン ひきちぎり 体に巻きつけ 踊ってみたくなる Wind is blowing from the Aegean 女は海 やさしい人に抱(だ)かれながらも 強い男にひかれてく Uh― Ah― Uh― Ah― 私の中でお眠りなさい Wind is blowing from the Aegean 女は海 好きな男の腕の中でも 違う男の夢を見る Uh― Ah― Uh― Ah― 私の中でお眠りなさい Wind is blowing from the Aegean 女は恋
21,新人賞,143490,好きだから_by_井上望,ひと足違いであなたが帰ったあとよ 書きなぐりの字を伝言板に残して 不気味に明るい夜明けの駅前 きんもくせいの花に暗い雨が降りかかる 踏むたび私の影が悲鳴をあげる 好きだから 泣いて泣いて涙も枯れたふりをして あなたにさよならをしようと決めた いつかは別れの日が来る予感がしてた そして悪者に私がなる気でいたの 車が邪険にかたわら追い越す きんもくせいの花の匂いに送られながら うつむき加減に道を泣き泣き歩く 好きだから 泣いて泣いて涙も枯れたふりをして 好きだから 恋に恋に疲れたようなふりをして あなたにさよならをしようと決めた どうやら本降り この雨しばらくやまない あなたもおそらく 涙をこぼしてるのね 好きだから 泣いて泣いて涙も枯れたふりをして 好きだから 恋に恋に疲れたようなふりをして あなたにさよならをしようと決めた
21,新人賞,105124,HOW!ワンダフル_by_倉田まり子,なんにも色に 染まっていない 私が変る ただあなたの愛で もうじき私 街ゆく人が アー ふり向くような 女になるわ 男がいて女がいて 恋ができるの あなたがいて私がいて キスができるの なんて素敵なこと なんて不思議なこと HOWワンダフル、ワンダフル ラブ！ 若さの中で あなたに逢えて 祈りたいほど いま幸福(しあわせ)なのよ 昨日と違う 私がわかる アー 輝やいているの あなたの為に 男がいて女がいて 生きてゆけるの あなたがいて私がいて 抱きしめ合える なんて素敵なこと なんて不思議なこと HOWワンダフル、ワンダフル ラブ！ 男がいて女がいて 生きてゆけるの あなたがいて私がいて 抱きしめ合える なんて素敵なこと なんて不思議なこと HOWワンダフル、ワンダフル ラブ！
21,新人賞,5848,私のハートはストップモーション_by_桑江知子,ああ 私のハートは ストップモーション あなたに出逢った まぶしさに ああ 私のハートは ストップモーション 通りすぎるなんて できないわ ノックもなしに飛びこんできた恋 私 あなたを はなさないわ マンションのエレベーター降りたとたん 出逢いがしら はじけた熱い視線 春先によくある アクシデントなのに 感じたときめき ああ せつなすぎる ああ 私のハートは ストップモーション あなたに出逢った ときめきに ああ 私のハートは ストップモーション こんな熱いショック はじめてよ 春と一緒に 舞いこんできた恋 私 あなたをはなさないわ あなたのその燃える胸に 飛び込むまで 冬のコート着ていた 私の心 暖かな陽ざしに ブラインド降ろして 恋するやさしさ ああ 忘れていた ああ 私のハートは ストップモーション あなたに出逢った まぶしさに ああ 私のハートは ストップモーション 通りすぎるなんて できないわ ノックもなしに飛びこんできた恋 私 あなたを はなさないわ
21,最優秀新人賞,5848,私のハートはストップモーション_by_桑江知子,ああ 私のハートは ストップモーション あなたに出逢った まぶしさに ああ 私のハートは ストップモーション 通りすぎるなんて できないわ ノックもなしに飛びこんできた恋 私 あなたを はなさないわ マンションのエレベーター降りたとたん 出逢いがしら はじけた熱い視線 春先によくある アクシデントなのに 感じたときめき ああ せつなすぎる ああ 私のハートは ストップモーション あなたに出逢った ときめきに ああ 私のハートは ストップモーション こんな熱いショック はじめてよ 春と一緒に 舞いこんできた恋 私 あなたをはなさないわ あなたのその燃える胸に 飛び込むまで 冬のコート着ていた 私の心 暖かな陽ざしに ブラインド降ろして 恋するやさしさ ああ 忘れていた ああ 私のハートは ストップモーション あなたに出逢った まぶしさに ああ 私のハートは ストップモーション 通りすぎるなんて できないわ ノックもなしに飛びこんできた恋 私 あなたを はなさないわ
21,新人賞,2822,September_by_竹内まりや,"辛子色のシャツ追いながら 飛び乗った電車のドア いけないと知りながら 振り向けば隠れた 街は色づいたクレヨン画 涙まで染めて走る 年上の人に会う 約束と知ってて September そしてあなたは September 秋に変わった 夏の陽射しが弱まるように心に翳がさした September そして九月は September さよならの国 解きかけてる愛の結び目涙が木の葉になる 会ってその人に頼みたい 彼のこと返してねと でもだめね気の弱さ くちびるも凍える September そしてあなたは September 秋に変った 話すことさえなくなるなんて私に飽きた証拠 September そして九月は September さよならの国 めぐる季節の色どりの中一番淋しい月 借りていたDictionary 明日返すわ “Love”という言葉だけ切り抜いた後 それがGood bye, good bye September そしてあなたは September 秋に変った 私ひとりが傷つくことが残されたやさしさね September そして九月は September さよならの国 トリコロールの海辺の服も二度と着る事はない"
21,新人賞,1189,おんなの出船_by_松原のぶえ,涙 涙 涙 涙 涙枯れても 枯れるな恋よ 船に 私は乗る あなた 桟橋で 白いテープを引く お別れ波止場 サヨナラ サヨナラ おんなの出船 夢を 夢を 夢を 夢を 夢を下さい おんなの夢を 明日は どうにかなる 今夜 見る夢に 愛を信じて行く 一人の旅路 サヨナラ サヨナラ おんなの出船 心 心 心 心 心あげます おんなの心 他に 何もない あげる ものなんて 沖じゃカモメが泣く お別れ波止場 サヨナラ サヨナラ おんなの出船
21,最優秀歌唱賞,1084,おもいで酒_by_小林幸子,無理して飲んじゃ いけないと 肩をやさしく 抱きよせた あの人 どうしているかしら 噂をきけば あいたくて おもいで酒に 酔うばかり ボトルに別れた 日を書いて そっと涙の 小指かむ あの人 どうしているかしら 出船の汽笛 ききながら おもいで酒に 酔うばかり いつかは忘れる 人なのに 飲めば未練が またつのる あの人 どうしているかしら くらしも荒れた このごろは おもいで酒に 酔うばかり
21,金賞,1084,おもいで酒_by_小林幸子,無理して飲んじゃ いけないと 肩をやさしく 抱きよせた あの人 どうしているかしら 噂をきけば あいたくて おもいで酒に 酔うばかり ボトルに別れた 日を書いて そっと涙の 小指かむ あの人 どうしているかしら 出船の汽笛 ききながら おもいで酒に 酔うばかり いつかは忘れる 人なのに 飲めば未練が またつのる あの人 どうしているかしら くらしも荒れた このごろは おもいで酒に 酔うばかり
21,金賞,1065,おまえとふたり_by_五木ひろし,わたしは 不幸ぐせ とれない女と この胸に か細い手をそえて ああ 泣きじゃくる人 昔のことは 忘れろよ 今のおまえが いればいい しあわせを しあわせを 今日からふたりで 苦労したんだね やつれた薬指 もう二度と おまえを離さない あゝ 涙をおふき まぶたを濡らす 泣き癖は 変わっちゃいないね あの頃と しあわせを しあわせを 今日からふたりで 陽のさす 坂道へ一度でいいから 目かくしを おまえにしたままで ああ 連れて行きたいよ 心におなじ 傷をもつ 似た者どうしさ 俺たちは しあわせを しあわせを 今日からふたりで
21,金賞,1265,カサブランカ・ダンディ_by_沢田研二,ききわけのない女の頬を 一つ二つはりたおして 背中を向けて煙草をすえば それで何もいうことはない うれしい頃のピアノのメロディー 苦しい顔できかないふりして 男と女は流れのままに パントマイムを演じていたよ ボギー ボギー あんたの時代はよかった 男がピカピカの気障でいられた ボギー ボギー あんたの時代はよかった 男がピカピカの気障でいられた しゃべりが過ぎる女の口を さめたキスでふさぎながら 背中のジッパーつまんでおろす 他に何もすることはない 想い出ばかり積み重ねても 明日を生きる夢にはならない 男と女は承知の上で つらい芝居をつづけていたよ ボギー ボギー あんたの時代はよかった 男のやせがまん粋に見えたよ ボギー ボギー あんたの時代はよかった 男のやせがまん粋に見えたよ ボギー ボギー あんたの時代はよかった 男がピカピカの気障でいられた ボギー ボギー あんたの時代はよかった 男がピカピカの気障でいられた
21,金賞,1435,関白宣言_by_さだまさし,お前を嫁にもらう前に 言っておきたい事がある かなりきびしい話もするが 俺の本音を聴いておけ 俺より先に寝てはいけない 俺より後に起きてもいけない めしは上手く作れ いつもきれいでいろ 出来る範囲で構わないから 忘れてくれるな仕事も出来ない男に 家庭を守れるはずなどないってこと お前にはお前にしか できないこともあるから それ以外は口出しせず黙って俺についてこい お前の親と俺の親と どちらも同じだ大切にしろ 姑小姑かしこくこなせ たやすいはずだ愛すればいい 人の陰口言うな聞くな それからつまらぬシットはするな 俺は浮気はしない たぶんしないと思う しないんじゃないかな ま、ちょっと覚悟はしておけ 幸福は二人で 育てるもので どちらかが苦労して つくろうものではないはず お前は俺の処へ 家を捨てて来るのだから 帰る場所は無いと思え これから俺がお前の家 子供が育って 年をとったら 俺より先に死んではいけない 例えばわずか一日でもいい 俺より早く逝ってはいけない 何もいらない俺の手を握り 涙のしずくふたつ以上こぼせ お前のお陰でいい人生だったと 俺が言うから必ず言うから 忘れてくれるな 俺の愛する女は 愛する女は 生涯お前ひとり 忘れてくれるな 俺の愛する女は 愛する女は 生涯お前ただ一人
21,金賞,2430,しなやかに歌って_by_山口百恵,しなやかに歌って 淋しい時は しなやかに歌って この歌を 坂の上から見た街は陽炎(かげろう) 足につけたローラー 地面をけって滑ってく 夜は33の回転扉(とびら) 開ければそこには愛が溢れているのに レコードが廻るだけ あなたはもういない しなやかに歌って 淋しい時も しなやかに歌って この歌を 素顔のままで 私はひとり あなたの帰り待っているのです 澄んだ青い空の彼方をめざし 栗毛色のポニー手綱(たずな)を引けば走ってく 夜は33のページを開き 昨日の続きの本を読んでいるのに お話は終りなの あなたはもういない しなやかに歌って 淋しい時も しなやかに歌って この歌を 飾りをすてた心のなかで あなたの名前呼んでいるのです しなやかに歌って 淋しい時は しなやかに歌って この歌を 静かに時は流れてゆくの 夜はいつでも朝に続くはず しなやかに歌って 淋しい時は しなやかに歌って この歌を しなやかに歌って 淋しい時に しなやかに歌って この愛を
21,金賞,3871,ビューティフル・ネーム_by_ゴダイゴ,"今日も子どもたちは、小さな手をひろげて 光と、そよ風と、友だちを呼んでる だれかがどこかで答えてる その子の名前を叫ぶ 名前 それは燃える生命(いのち) ひとつの地球にひとりずつひとつ Every child has a beautiful name A beautiful name, a beautiful name 呼びかけよう名前を、すばらしい名前を 今日も子どもたちの歌声が世界を 大きくつつむだろう、大きくまわるだろう ひとりの子どものかなしみも 仲間の名前に溶ける 名前、それは燃える生命 ひとつの地球にひとりずつひとつ だれかがどこかで答えてる その子の名前を叫ぶ 名前、それは燃える生命 ひとつの地球にひとりずつひとつ… Every child has a beautiful name A beautiful name, a beautiful name 呼びかけよう名前を、すばらしい名前を どの子にもひとつの生命が光ってる 呼びかけよう名前を、すばらしい名前を Every child on earth has a beautiful name A beautiful name, a beautiful name 呼びかけよう名前を、すばらしい名前を どの子にもひとつの生命が光ってる 呼びかけよう名前を、すばらしい名前を Every child has a beautiful name A beautiful name, a beautiful name"
21,金賞,3971,舟唄_by_八代亜紀,お酒はぬるめの 燗(かん)がいい 肴(さかな)はあぶった イカでいい 女は無口な ひとがいい 灯りはぼんやり 灯(とも)りゃいい しみじみ飲めば しみじみと 想い出だけが 行き過ぎる 涙がポロリと こぼれたら 歌いだすのさ 舟唄を 沖の鴎に深酒させてヨ いとしのあの娘(こ)とヨ 朝寝する ダンチョネ 店には飾りがないがいい 窓から港が 見えりゃいい はやりの歌など なくていい 時々霧笛(むてき)が 鳴ればいい ほろほろ飲めば ほろほろと 心がすすり 泣いている あの頃あの娘を 思ったら 歌いだすのさ 舟唄を ぽつぽつ飲めば ぽつぽつと 未練が胸に 舞い戻る 夜ふけてさびしくなったなら 歌いだすのさ 舟唄を ルルル‥‥
21,金賞,4301,万華鏡_by_岩崎宏美,夢だと言って 嘘だと言って 幻だよと あなた 灼けつく こんな想い ドアのすき間 一部始終 あなたの巻き毛に 埋められたマニキュア 首を横にふってもだめなの ショーウィンドゥ 万華鏡のよう 私を見る 私がいるのよ 波立った胸が 胸が 痛いほど熱い 熱い みるみるうちに この通りは河になるわ 思いは乱れて 見知らぬ 男達の 熱い視線に さらされても 平気よ今なら 思い切り傷つくわ どうせあなた私を嫌いね バック・ミラー 万華鏡のよう 私を見る 私がいるのよ 頬紅が青く 青く 変わるのが映る 映る 大人ぶった 深いVのラインが揺れる 思いは乱れて ショーウィンドゥ 万華鏡のよう 私を見る 私がいるのよ 波立った胸が 胸が 痛いほど熱い 熱い みるみるうちに この通りは河になるわ 思いは乱れて 夢だと言って… 嘘だと言って… 幻だよと… あなた あなた あなた ただ一人なの 夢だと言って… 嘘だと言って… 幻だよと… 私 私 私一人ぼっちよ…
21,金賞,38623,勇気があれば_by_西城秀樹,幸せに輝く あの人だって 若い日の弱さを 悔やんでいるはず あの時にもう少し 勇気があったら 今より遠くへ 行けたのにと 勇気をお持ち あなたのために そして愛する 誰かのために 哀しみにくもった 窓を拭いたら そこに ほら 明日が 幸せにはぐれて うつむく時も 太陽は燃えてる あなたは生きてる あきらめの涙なら いつでも流せる もう一度流そう 心の汗を 勇気をお持ち 胸の片隅 しまいこんで 忘れた勇気を 哀しみにぬられた 壁を越えれば そこに ほら 明日が 勇気をお持ち あなたのために そして愛する 誰かのために 哀しみにくもった 窓を拭いたら そこに ほら 明日が
21,ロング・セラー賞,4668,夢追い酒_by_渥美二郎,悲しさまぎらす この酒を 誰が名付けた 夢追い酒と あなたなぜなぜ わたしを捨てた みんなあげてつくした その果てに 夜の酒場で ひとり泣く 死ぬまで一緒と信じてた わたし馬鹿です 馬鹿でした あなたなぜなぜ わたしを捨てた 指をからめ 眠った幸せを 思い出させる 流し唄 おまえと呼ばれた 気がしたの 雨ににじんだ 酒場の小窓 あなたなぜなぜ わたしを捨てた じんとお酒 心に燃えさせて 夢を追いましょ もう一度
21,ロング・セラー賞,3676,花街の母_by_金田たつえ,他人にきかれりゃ お前のことを 年のはなれた妹と 作り笑顔で 答える私 こんな苦労に ケリつけて たとえひと間の部屋でよい 母と娘の 暮しが欲しい いくらなじんだ水でも 年頃の娘のいる 左褄(ひだりづま) 住みにくうございます 浮名を流した昔もありましたが… ああ あのひと 私を残して死んだ あの人を恨みます 厚い化粧に 憂いをかくし 酒で涙をごまかして 三味にせかれて つとめる座敷 あれが子持ちの芸者だと バカにされても夢がある それはお前の 花嫁姿 女の盛りはアッという間です 若い妓の時代 もう私はうば桜 出る幕ないわ でも もう少し この花街に 私を置いて下さい せめてあの娘に いい花聟が 見つかりますまで 何度死のうと 思ったことか だけど背で泣く 乳呑児の 声に責められ十年過ぎた 宵に褄とる女にも きっといつかは幸福が来ると 今日まで 信じて生きた
21,ロング・セラー賞,1483,北国の春_by_千昌夫,白樺 青空 南風 こぶし咲くあの丘 北国のあゝ北国の春 季節が都会では わからないだろと 届いたおふくろの 小さな包み あの故郷へ 帰ろかな帰ろかな 雪どけ せせらぎ 丸木橋 落葉松の芽がふく 北国のあゝ北国の春 好きだとおたがいに 言いだせないまま 別れてもう五年 あのこはどうしてる あの故郷へ 帰ろかな帰ろかな 山吹 朝霧 水車小屋 わらべ唄聞える 北国のあゝ北国の春 あにきもおやじ似で 無口なふたりが たまには酒でも 飲んでるだろか あの故郷へ 帰ろかな帰ろかな
21,ロング・セラー賞,5574,みちづれ_by_牧村三枝子,水にただよう 浮草に おなじさだめと 指をさす 言葉少なに 目をうるませて 俺をみつめて うなづくおまえ きめた きめた おまえとみちづれに 花の咲かない 浮草に いつか 実のなる ときをまつ 寒い夜更けは お酒を買って たまのおごりと はしゃぐ姿に きめた きめた おまえとみちづれに 根なし明日なし 浮草に 月のしずくの やどるころ 夢の中でも この手をもとめ さぐりあてれば 小さな寝息 きめた きめた おまえとみちづれに
22,大賞,386,雨の慕情_by_八代亜紀,心が忘れたあのひとも 膝が重さを覚えてる 長い月日の膝まくら 煙草プカリとふかしてた 憎い 恋しい 憎い 恋しい めぐりめぐって 今は恋しい 雨々ふれふれ もっとふれ 私のいい人つれて来い 雨々ふれふれ もっとふれ 私のいい人つれて来い 一人で覚えた手料理を なぜか味見がさせたくて すきまだらけのテーブルを 皿でうずめている私 きらい 逢いたい きらい 逢いたい くもり空なら いつも逢いたい 雨々ふれふれ もっとふれ 私のいい人つれて来い 雨々ふれふれ もっとふれ 私のいい人つれて来い 雨々ふれふれ もっとふれ 私のいい人つれて来い 雨々ふれふれ もっとふれ 私のいい人つれて来い
22,金賞,386,雨の慕情_by_八代亜紀,心が忘れたあのひとも 膝が重さを覚えてる 長い月日の膝まくら 煙草プカリとふかしてた 憎い 恋しい 憎い 恋しい めぐりめぐって 今は恋しい 雨々ふれふれ もっとふれ 私のいい人つれて来い 雨々ふれふれ もっとふれ 私のいい人つれて来い 一人で覚えた手料理を なぜか味見がさせたくて すきまだらけのテーブルを 皿でうずめている私 きらい 逢いたい きらい 逢いたい くもり空なら いつも逢いたい 雨々ふれふれ もっとふれ 私のいい人つれて来い 雨々ふれふれ もっとふれ 私のいい人つれて来い 雨々ふれふれ もっとふれ 私のいい人つれて来い 雨々ふれふれ もっとふれ 私のいい人つれて来い
22,新人賞,43165,あなた色のマノン_by_岩崎良美,足をくじいたふりをしたら あなたは私を おぶってくれた ああ 一足ごとに あなたの優しさが 胸に響いて来る 愛がしみて来る 私の肌や髪の毛が あなた色になってゆく 私はマノン マノン・レスコー 恋するために生まれた天使 あなたの背中でやけつく陽射しに 身をこがしたいの 熱く熱く 砂漠よりも 熱く激しく あなた私にくちづけした 背中に私を おぶったままで ああ ずっとこのまま あなたが疲れ果て 砂にたおれるまで 愛してくれますか 私のために何もかも 捨てることができますか 私はマノン マノン・レスコー 恋するために生まれた天使 私は あなたに捧げます いのちを 連れてって下さい 遠く遠く 砂漠よりも 遠く果てなく
22,新人賞,4596,ヤング・ボーイ_by_河合奈保子,好きな人 今はまだ秘密 耳もとで ささやいてかけ出すの 光のステップ あなたと二人 息をきらして 風の中 そばにいると 胸がキュンとなるの 逢えなければ もっとつらいくせ ヤング・ボーイ あなたのすべてを ヤング・ボーイ この胸に受けとめて 今 憧れの人に めぐり逢えた 青い季節 はじめての ことばかりなのよ あなたから 誘われた日曜日 小さなテーブル 手と手を重ねて 何も言わずに 見つめあうの そばにいると 胸がキュンとなるの はなさないで あなただけの私 ヤング・ボーイ あなたのすべてを ヤング・ボーイ この胸に受けとめて 今 憧れの人に めぐり逢えた 青い季節 ヤング・ボーイ あなたのすべてを ヤング・ボーイ この胸に受けとめて 今 憧れの人に めぐり逢えた 青い季節
22,新人賞,3634,ハッとして！Good_by_田原俊彦,パステルに染った高原の Telephone Box 電話をかける君と 偶然バッタリ出合ったよ ハッとして グッときて パッと目覚める 恋だから フッとした瞬間の 君は天使さ 君と出会う Sweet Situation きらめく高原で 僕は今 さわやかな 君だけのプリンスになると 決めたのさ グレーのテニスコート 思わず触れた君の手に ラケット持つ手止まり その頬まっ赤に染ったよ ハッとして サッとひき パッと恥らう その瞳 フッとした瞬間の 君は天使さ 君と触れた Sweet Situation きらめく高原で 僕は今 君だけに 心からやさしくなれると 知ったのさ ハッとして グッときて パッと目覚めた 恋だから フッとした瞬間の 君は天使さ 君とはずむ Sweet Situation きらめく高原で 僕は今 君をのせ 二人だけの世界へと はばたくよ
22,最優秀新人賞,3634,ハッとして！Good_by_田原俊彦,パステルに染った高原の Telephone Box 電話をかける君と 偶然バッタリ出合ったよ ハッとして グッときて パッと目覚める 恋だから フッとした瞬間の 君は天使さ 君と出会う Sweet Situation きらめく高原で 僕は今 さわやかな 君だけのプリンスになると 決めたのさ グレーのテニスコート 思わず触れた君の手に ラケット持つ手止まり その頬まっ赤に染ったよ ハッとして サッとひき パッと恥らう その瞳 フッとした瞬間の 君は天使さ 君と触れた Sweet Situation きらめく高原で 僕は今 君だけに 心からやさしくなれると 知ったのさ ハッとして グッときて パッと目覚めた 恋だから フッとした瞬間の 君は天使さ 君とはずむ Sweet Situation きらめく高原で 僕は今 君をのせ 二人だけの世界へと はばたくよ
22,新人賞,170,青い珊瑚礁_by_松田聖子,あゝ私の恋は南の風に乗って走るわ あゝ青い風切って走れあの島へ あなたと逢うたびに すべてを忘れてしまうの はしゃいだ私は Little girl 熱い胸聞こえるでしょう 素肌にキラキラ珊瑚礁 二人っきりで流されてもいゝの あなたが好き！ あゝ私の恋は南の風に乗って走るわ あゝ青い風切って走れあの島へ 涙がこぼれるの やさしい目をして見ないで うつ向き加減の Little Rose 花びら触れて欲しいの 渚は恋のモスグリーン 二人の頬が近づいてゆくのよ あなたが好き！ あゝ私の恋は南の風に乗って走るわ あゝ青い風切って走れあの島へ
22,新人賞,1241,帰ってこいよ_by_松村和子,きっと帰って くるんだと お岩木山で 手を振れば あの娘は小さく うなずいた 茜の空で 誓った恋を 東京ぐらしで 忘れたか 帰ってこいよ 帰ってこいよ 帰ってこいよ 白いリンゴの 花かげで 遊んだ頃が なつかしい 気立てのやさしい 娘(こ)だったよ お前の嫁に 欲しかったねと おふくろ今夜も ひとりごと 帰ってこいよ 帰ってこいよ 帰ってこいよ 可愛いあの娘の 帰る日を お岩木山で 今日も又 津軽の風と 待っている 忘れはしまい あの約束の こんなにきれいな 茜空 帰ってこいよ 帰ってこいよ 帰ってこいよ
22,最優秀歌唱賞,928,大阪しぐれ_by_都はるみ,ひとりで 生きてくなんて できないと 泣いてすがればネオンが ネオンがしみる 北の新地は おもいでばかり 雨もよう 夢もぬれます あゝ大阪しぐれ ひとつや ふたつじゃないの ふるきずは 噂並木の堂島 堂島すずめ こんなわたしで いいならあげる なにもかも 抱いてください あゝ大阪しぐれ しあわせ それともいまは ふしあわせ 酔ってあなたは曽根崎 曽根崎あたり つくし足りない わたしが悪い あのひとを 雨よ帰して あゝ大阪しぐれ
22,金賞,928,大阪しぐれ_by_都はるみ,ひとりで 生きてくなんて できないと 泣いてすがればネオンが ネオンがしみる 北の新地は おもいでばかり 雨もよう 夢もぬれます あゝ大阪しぐれ ひとつや ふたつじゃないの ふるきずは 噂並木の堂島 堂島すずめ こんなわたしで いいならあげる なにもかも 抱いてください あゝ大阪しぐれ しあわせ それともいまは ふしあわせ 酔ってあなたは曽根崎 曽根崎あたり つくし足りない わたしが悪い あのひとを 雨よ帰して あゝ大阪しぐれ
22,金賞,5776,あれから一年たちました_by_小林幸子,秋に別れの木枯し吹いて 燃えた紅色消してゆく あなた淋しくないですか 人のぬくもり恋しい季節 別れたあの日も寒い朝 あれから一年たちました 街にチラチラ粉雪舞って 人はコートの衿立てる あなた淋しくないですか いつも心に吹いてる風が あなたのせいだと知りました あれから一年たった今 白い吐息が行き交う中で 何故か人目を避けてます あなた淋しくないですか 二度と会えぬとわかっていても あなたの笑顔が浮かびます あれから一年たちました
22,金賞,6817,銀河伝説_by_岩崎宏美,結ばれた心の糸は見えない この目で結び目を確めたい はなればなれであれば 尚のこと ひとりひとりであれば 尚のこと ふり仰げば銀河は空を流れ 人の世の愛も星のよう 愛することは信じること 信じることは愛 愛すること 半分の心と心 とりかえ 一つにつないでも まだ逢いたい たったひとりの人を永遠に たったひとつの愛を永遠に 目を閉じれば楽しい日々が浮かび あのひとの星はいつも きらめいた 愛することは信じること 信じることは愛 愛すること 愛することは信じること 信じることは愛 愛すること
22,金賞,1871,恋人よ_by_五輪真弓,枯葉散る夕暮れは 来る日の寒さをものがたり 雨に壊れたベンチには 愛をささやく歌もない 恋人よ そばにいて こごえる私のそばにいてよ そしてひとこと この別れ話が 冗談だよと 笑ってほしい 砂利路を駆け足で マラソン人が行き過ぎる まるで忘却のぞむように 止まる私を 誘っている 恋人よ さようなら 季節はめぐってくるけど あの日の二人 宵の流れ星 光っては消える 無情の夢よ 恋人よ そばにいて こごえる私のそばにいてよ そしてひとこと この別れ話が 冗談だよと 笑ってほしい
22,金賞,2035,酒場でDABADA_by_沢田研二,酒場を探して 見えない時は 近くの墓場を探してみろよ ダブルのグラスに花をさし ゆっくり眠っているはずだから ダバダ ディディ ダバダ ディダ ダバダ ディディ ダバダ ディダ 『ちょっといいジョークだね』 お前が性悪女であれば そのまま一緒に暮したけれど 心のやさしい女だと わかってしまえば おさらばするよ ダバダ ディディ ダバダ ディダ ダバダ ディディ ダバダ ディダ 『美しい話だね』 七時を過ぎたら この顔に ブルーの影が出て 頬ずりして来た女の子 チクチクするわと痛がった よせよ よせよ 酔えなくなるよ ダバダ ディディ ダバダ ディダ ダバダ ディディ ダバダ ディダ 『じゃまっけな女だね』 ゆっくり生きたら百年かかる 急いで生きたら三十いくつ どうやら俺には短かめの 酒場と墓場の二幕芝居 ダバダ ディディ ダバダ ディダ ダバダ ディディ ダバダ ディダ 『ギンギラの男だね』 真夜中過ぎたら左手が お前を恋しがり 豊かな体を思い出し ビリビリふるえることもある よせよ よせよ 悪酔いするよ 真夜中過ぎたら左手が お前を恋しがり 豊かな体を思い出し ビリビリふるえることもある よせよ よせよ 悪酔いするよ ダバダ ディディ ダバダ ディダ ダバダ ディディ ダバダ ディダ 『それもまたせつないね』 ダバダ ディディ ダバダ ディダ ダバダ ディディ ダバダ ディダ 『ギンギラの男だね』
22,金賞,38612,サンタマリアの祈り_by_西城秀樹,くちづけで 君の病いを 吸いとってあげよう ぼくの胸に 鳩が舞う 広場に遊ぶ子供の 声も知らず 君は 眠りつづけている サンタマリア ぼくの命を ここに捧げます どうぞ奪って下さい 愛の歌は ひとりぼっちでは 唄えはしない 唄えはしない 手をとれば 君はかすかに 目をあけて ぼくに笑いかける 幸せが 今しも 訪れる時 ぼくをおいて 君はどこへ行くつもりか サンタマリア 何かいけないことを このぼくが したと 言うのでしょうか 救いたまえ 命ささげます 何でもします 何でもします 今 青い空に 鐘は鳴りわたる 鳩はみだれ飛ぶ 君よ めざめて おくれ 愛の歌は ひとり ひとりぼっちでは 唄えはしない 唄えはしない サンタマリア サンタマリア サンタマリア
